symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
BOYM,2026-06-10 15:15:00+00,-33.29,56.19,0.147744,1.753488,101.1,981.1541,0.001,12.53
BOYM,2026-06-10 15:00:00+00,-32.25,53.12,1.329696,3.009312,51.78,981.2504,0,12.53
BOYM,2026-06-10 14:45:00+00,-31.36,54.48,1.844856,3.619728,118.6,981.4581,0,12.53
BOYM,2026-06-10 14:30:00+00,-31.88,53.35,1.990656,3.84912,66.06,981.4048,0,12.53
BOYM,2026-06-10 14:15:00+00,-31.08,50.73,2.379456,4.648104,166.6,981.1412,0.001,12.54
BOYM,2026-06-10 14:00:00+00,-30.99,50.78,4.261248,5.866992,174.4,981.0753,0,12.54
BOYM,2026-06-10 13:45:00+00,-30.55,49.39,3.600288,5.75424,186.6,981.0488,0,12.53
BOYM,2026-06-10 13:30:00+00,-30.78,51.11,3.600288,5.068008,182.2,981.1638,0,12.54
BOYM,2026-06-10 13:15:00+00,-30.77,49.48,3.180384,5.334336,207.2,981.104,0,12.54
BOYM,2026-06-10 13:00:00+00,-30.47,50.65,3.699432,6.096384,178.4,981.0734,0,12.54
BOYM,2026-06-10 12:45:00+00,-30.27,49.45,2.243376,4.80168,173.2,980.9735,0,12.53
BOYM,2026-06-10 12:30:00+00,-30.65,51.7,5.206032,7.239456,110.8,980.9087,0,12.54
BOYM,2026-06-10 12:15:00+00,-30.82,49.38,3.137616,6.325776,345.1,980.8349,0,12.54
BOYM,2026-06-10 12:00:00+00,-30.4,50.04,3.748032,7.010064,103.5,980.7213,0,12.54
BOYM,2026-06-10 11:45:00+00,-30.71,49.32,2.161728,5.410152,52.13,980.6834,0,12.54
BOYM,2026-06-10 11:30:00+00,-30.15,49,0.989496,2.515536,86,980.5304,0,12.54
BOYM,2026-06-10 11:15:00+00,-29.76,45.96,1.765152,3.619728,140.5,980.4897,0,12.54
BOYM,2026-06-10 11:00:00+00,-28.88,44.85,3.540024,5.295456,110.3,980.4406,0,12.54
BOYM,2026-06-10 10:45:00+00,-28.98,44.58,2.253096,3.924936,85,980.3532,0,12.55
BOYM,2026-06-10 10:30:00+00,-28.49,43.8,2.709936,5.334336,147,980.3356,0,12.54
BOYM,2026-06-10 10:15:00+00,-28.54,45,2.19672,3.924936,128.4,980.2855,0,12.54
BOYM,2026-06-10 10:00:00+00,-27.72,40.25,3.300912,5.21964,168.1,980.4948,0,12.54
BOYM,2026-06-10 09:45:00+00,-27.98,40.88,2.132568,3.886056,187.3,980.46,0,12.54
